Carp;10;35;20;5;1;1
Tilapia;12;40;30;7;1;1
Catfish;20;50;45;10;2;1
Bass;18;45;55;12;2;1
Trout;15;42;70;15;3;1
Salmon;30;65;120;25;2;2
Pike;35;75;150;30;2;2
Snapper;28;60;180;35;3;2
Tuna;50;100;250;45;4;2
Swordfish;70;140;400;60;4;2
Sturgeon;80;160;550;75;3;3
Barracuda;60;130;650;85;4;3
Giant Catfish;90;180;800;100;4;3
Marlin;120;220;1000;120;5;3
Hammerhead;150;280;1300;150;5;3
Bluefin Tuna;180;320;1700;180;4;4
Manta Ray;220;400;2200;220;4;4
Great White;250;450;3000;280;5;4
Leviathan Eel;350;600;4500;400;5;4
Golden Dragon;500;800;8000;700;5;4
